NodeLabel,NodeID,Connections,Weight,Group
Caterina Dallari,AUTHOR_CATERINA_DALLARI,"[""PMID:41686158""]",1.0,Author
Georg Ladurner,AUTHOR_GEORG_LADURNER,"[""PMID:41686158""]",1.0,Author
Milana Kendrisic,AUTHOR_MILANA_KENDRISIC,"[""PMID:41686158""]",1.0,Author
Federica Fenizi Caria,AUTHOR_FEDERICA_FENIZI_CARIA,"[""PMID:41686158""]",1.0,Author
Claudia Manzl,AUTHOR_CLAUDIA_MANZL,"[""PMID:41686158""]",1.0,Author
Luisa Ponticelli,AUTHOR_LUISA_PONTICELLI,"[""PMID:41686158""]",1.0,Author
Laura Perego,AUTHOR_LAURA_PEREGO,"[""PMID:41686158""]",1.0,Author
Francesco Goretti,AUTHOR_FRANCESCO_GORETTI,"[""PMID:41686158""]",1.0,Author
Caterina Credi,AUTHOR_CATERINA_CREDI,"[""PMID:41686158""]",1.0,Author
Manuela Prokesch,AUTHOR_MANUELA_PROKESCH,"[""PMID:41686158""]",1.0,Author
Adelheid Wöhrer,AUTHOR_ADELHEID_WÖHRER,"[""PMID:41686158""]",1.0,Author
Bernhard Baumann,AUTHOR_BERNHARD_BAUMANN,"[""PMID:41686158""]",1.0,Author
Rainer Leitgeb,AUTHOR_RAINER_LEITGEB,"[""PMID:41686158""]",1.0,Author
Francesco Saverio Pavone,AUTHOR_FRANCESCO_SAVERIO_PAVONE,"[""PMID:41686158""]",1.0,Author
"Structural Exploration of Pyrazine-1,2,3-Triazole ...",PMID:41685967,"[""AUTHOR_PANNALA_PADMAJA"", ""AUTHOR_ATUL_SHIRKHEDKAR"", ""AUTHOR_RAHUL_PAWARA"", ""AUTHOR_MADALA_RAMESH"", ""AUTHOR_VINOD_UGALE"", ""AUTHOR_PEDAVENKATAGARI_NARAYANA_REDDY"", ""AUTHOR_DEEPAK_LOKWANI"", ""AUTHOR_SRINIVAS_MANDA"", ""DISORDER_ALZHEIMER'S_DISEASE""]",2.0,PubMedArticle
Madala Ramesh,AUTHOR_MADALA_RAMESH,"[""PMID:41685967""]",1.0,Author
Pannala Padmaja,AUTHOR_PANNALA_PADMAJA,"[""PMID:41685967""]",1.0,Author
Vinod Ugale,AUTHOR_VINOD_UGALE,"[""PMID:41685967""]",1.0,Author
Atul Shirkhedkar,AUTHOR_ATUL_SHIRKHEDKAR,"[""PMID:41685967""]",1.0,Author
Rahul Pawara,AUTHOR_RAHUL_PAWARA,"[""PMID:41685967""]",1.0,Author
Deepak Lokwani,AUTHOR_DEEPAK_LOKWANI,"[""PMID:41685967""]",1.0,Author
Srinivas Manda,AUTHOR_SRINIVAS_MANDA,"[""PMID:41685967""]",1.0,Author
Pedavenkatagari Narayana Reddy,AUTHOR_PEDAVENKATAGARI_NARAYANA_REDDY,"[""PMID:41685967""]",1.0,Author
NIR-responsive upconversion nanoplatforms: an anio...,PMID:41685837,"[""AUTHOR_XIAOSHUO_ZHANG"", ""AUTHOR_YIJIA_GUAN"", ""AUTHOR_HUICHANG_CHEN"", ""AUTHOR_WEIJIE_CAO"", ""AUTHOR_HUAZHEN_DUAN"", ""AUTHOR_TAO_LI"", ""AUTHOR_JIANGUO_LIAO"", ""AUTHOR_HUI_GUO"", ""AUTHOR_XIAOFENG_JIA"", ""AUTHOR_BINBIN_WANG"", ""DISORDER_ALZHEIMER'S_DISEASE""]",2.0,PubMedArticle
Xiaofeng Jia,AUTHOR_XIAOFENG_JIA,"[""PMID:41685837""]",1.0,Author
Yijia Guan,AUTHOR_YIJIA_GUAN,"[""PMID:41685837""]",1.0,Author
Weijie Cao,AUTHOR_WEIJIE_CAO,"[""PMID:41685837""]",1.0,Author
Xiaoshuo Zhang,AUTHOR_XIAOSHUO_ZHANG,"[""PMID:41685837""]",1.0,Author
Huazhen Duan,AUTHOR_HUAZHEN_DUAN,"[""PMID:41685837""]",1.0,Author
Hui Guo,AUTHOR_HUI_GUO,"[""PMID:41685837""]",1.0,Author
Huichang Chen,AUTHOR_HUICHANG_CHEN,"[""PMID:41685837""]",1.0,Author
Binbin Wang,AUTHOR_BINBIN_WANG,"[""PMID:41685837""]",1.0,Author
Tao Li,AUTHOR_TAO_LI,"[""PMID:41685837""]",1.0,Author
Jianguo Liao,AUTHOR_JIANGUO_LIAO,"[""PMID:41685837""]",1.0,Author
"Alzheimer's Disease: Evolving Therapeutics, Scient...",PMID:41685767,"[""AUTHOR_AMIT_KUMAR_GOSWAMI"", ""AUTHOR_MANASI_RAMU_PRASAD"", ""AUTHOR_SAI_YASASVI_K"", ""AUTHOR_NITIN_YADAV"", ""DISORDER_ALZHEIMER'S_DISEASE"", ""AUTHOR_VIRANDER_S_CHAUHAN""]",2.0,PubMedArticle
Sai Yasasvi K,AUTHOR_SAI_YASASVI_K,"[""PMID:41685767""]",1.0,Author
Amit Kumar Goswami,AUTHOR_AMIT_KUMAR_GOSWAMI,"[""PMID:41685767""]",1.0,Author
Manasi Ramu Prasad,AUTHOR_MANASI_RAMU_PRASAD,"[""PMID:41685767""]",1.0,Author
Virander S Chauhan,AUTHOR_VIRANDER_S_CHAUHAN,"[""PMID:41685767""]",1.0,Author
Nitin Yadav,AUTHOR_NITIN_YADAV,"[""PMID:41685767""]",1.0,Author
New Compounds From the Deep-sea Sponge Mycale ling...,PMID:41685608,"[""AUTHOR_LAURENCE_H_DE_CLIPPELE"", ""AUTHOR_RAINER_EBEL"", ""AUTHOR_ANN_I_LARSSON"", ""AUTHOR_TAMMY_HORTON"", ""AUTHOR_MARCEL_JASPARS"", ""AUTHOR_DAVID_HORSLEY"", ""AUTHOR_H_POPPY_CLARK"", ""AUTHOR_AMANDA_SERPELL-STEVENS"", ""DISORDER_ALZHEIMER'S_DISEASE"", ""AUTHOR_EMMANUEL_TOPE_OLUWABUSOLA""]",2.0,PubMedArticle
H Poppy Clark,AUTHOR_H_POPPY_CLARK,"[""PMID:41685608""]",1.0,Author
David Horsley,AUTHOR_DAVID_HORSLEY,"[""PMID:41685608""]",1.0,Author
Amanda Serpell-Stevens,AUTHOR_AMANDA_SERPELL-STEVENS,"[""PMID:41685608""]",1.0,Author
Tammy Horton,AUTHOR_TAMMY_HORTON,"[""PMID:41685608""]",1.0,Author
Ann I Larsson,AUTHOR_ANN_I_LARSSON,"[""PMID:41685608""]",1.0,Author
Emmanuel Tope Oluwabusola,AUTHOR_EMMANUEL_TOPE_OLUWABUSOLA,"[""PMID:41685608""]",1.0,Author
Rainer Ebel,AUTHOR_RAINER_EBEL,"[""PMID:41685608""]",1.0,Author
Laurence H De Clippele,AUTHOR_LAURENCE_H_DE_CLIPPELE,"[""PMID:41685608""]",1.0,Author
Marcel Jaspars,AUTHOR_MARCEL_JASPARS,"[""PMID:41685608""]",1.0,Author
Soluble SORL1 in cerebrospinal fluid as a marker f...,PMID:41685556,"[""AUTHOR_CHARLOTTE_E_TEUNISSEN"", ""AUTHOR_GEORGII_OZHEGOV"", ""AUTHOR_NOLAN_BARRETT"", ""AUTHOR_HENNE_HOLSTEGE"", ""AUTHOR_JIRI_SEDMIK"", ""AUTHOR_MELANIE_LUNDING"", ""AUTHOR_MATTHIJS_W_J_DE_WAAL"", ""AUTHOR_LISA_VERMUNT"", ""AUTHOR_NICCOLO_TESI"", ""AUTHOR_MARJAN_M_WEISS"", ""DISORDER_ALZHEIMER'S_DISEASE"", ""AUTHOR_OLAV_M_ANDERSEN"", ""AUTHOR_JAN_RASKA"", ""AUTHOR_ANNE_METTE_G_JENSEN"", ""AUTHOR_CALVIN_TRIEU"", ""AUTHOR_DOVILE_JANULIENE"", ""AUTHOR_ROSALINA_VAN_SPAENDONK"", ""AUTHOR_WIESJE_M_VAN_DER_FLIER"", ""AUTHOR_ARNE_MOLLER"", ""AUTHOR_GIULIA_MONTI"", ""AUTHOR_DASA_BOHACIAKOVA"", ""AUTHOR_SONA_CESNARIKOVA"", ""AUTHOR_CHRISTIAN_B_VAEGTER"", ""AUTHOR_LYNN_BOONKAMP"", ""AUTHOR_SVEN_J_VAN_DER_LEE"", ""AUTHOR_MARC_HULSMAN""]",2.0,PubMedArticle
Matthijs W J de Waal,AUTHOR_MATTHIJS_W_J_DE_WAAL,"[""PMID:41685556""]",1.0,Author
Sven J van der Lee,AUTHOR_SVEN_J_VAN_DER_LEE,"[""PMID:41685556""]",1.0,Author
Melanie Lunding,AUTHOR_MELANIE_LUNDING,"[""PMID:41685556""]",1.0,Author
Lynn Boonkamp,AUTHOR_LYNN_BOONKAMP,"[""PMID:41685556""]",1.0,Author
Nolan Barrett,AUTHOR_NOLAN_BARRETT,"[""PMID:41685556""]",1.0,Author
Giulia Monti,AUTHOR_GIULIA_MONTI,"[""PMID:41685556""]",1.0,Author
Anne Mette G Jensen,AUTHOR_ANNE_METTE_G_JENSEN,"[""PMID:41685556""]",1.0,Author
Christian B Vaegter,AUTHOR_CHRISTIAN_B_VAEGTER,"[""PMID:41685556""]",1.0,Author
Jan Raska,AUTHOR_JAN_RASKA,"[""PMID:41685556""]",1.0,Author
Sona Cesnarikova,AUTHOR_SONA_CESNARIKOVA,"[""PMID:41685556""]",1.0,Author
Jiri Sedmik,AUTHOR_JIRI_SEDMIK,"[""PMID:41685556""]",1.0,Author
Calvin Trieu,AUTHOR_CALVIN_TRIEU,"[""PMID:41685556""]",1.0,Author
Marjan M Weiss,AUTHOR_MARJAN_M_WEISS,"[""PMID:41685556""]",1.0,Author
Rosalina van Spaendonk,AUTHOR_ROSALINA_VAN_SPAENDONK,"[""PMID:41685556""]",1.0,Author
Lisa Vermunt,AUTHOR_LISA_VERMUNT,"[""PMID:41685556""]",1.0,Author
Georgii Ozhegov,AUTHOR_GEORGII_OZHEGOV,"[""PMID:41685556""]",1.0,Author
Niccolo Tesi,AUTHOR_NICCOLO_TESI,"[""PMID:41685556""]",1.0,Author
Marc Hulsman,AUTHOR_MARC_HULSMAN,"[""PMID:41685556""]",1.0,Author
Dovile Januliene,AUTHOR_DOVILE_JANULIENE,"[""PMID:41685556""]",1.0,Author
Arne Moller,AUTHOR_ARNE_MOLLER,"[""PMID:41685556""]",1.0,Author
Dasa Bohaciakova,AUTHOR_DASA_BOHACIAKOVA,"[""PMID:41685556""]",1.0,Author
Wiesje M van der Flier,AUTHOR_WIESJE_M_VAN_DER_FLIER,"[""PMID:41685556""]",1.0,Author
Olav M Andersen,AUTHOR_OLAV_M_ANDERSEN,"[""PMID:41685556""]",1.0,Author
Charlotte E Teunissen,AUTHOR_CHARLOTTE_E_TEUNISSEN,"[""PMID:41685556""]",1.0,Author
Henne Holstege,AUTHOR_HENNE_HOLSTEGE,"[""PMID:41685556""]",1.0,Author
Detecting early memory changes in preclinical Alzh...,PMID:41685554,"[""AUTHOR_JOEL_H_KRAMER"", ""AUTHOR_MARTA_MIL\u00c0-ALOM\u00c0"", ""AUTHOR_ANNA_BRUGULAT-SERRAT"", ""AUTHOR_LESLIE_S_GAYNOR"", ""AUTHOR_GONZALO_S\u00c1NCHEZ-BENAVIDES"", ""AUTHOR_ELENA_TSOY"", ""AUTHOR_KATHERINE_L_POSSIN"", ""AUTHOR_ORIOL_GRAU-RIVERA"", ""DISORDER_ALZHEIMER'S_DISEASE"", ""AUTHOR_JUAN_DOMINGO_GISPERT""]",2.0,PubMedArticle
Anna Brugulat-Serrat,AUTHOR_ANNA_BRUGULAT-SERRAT,"[""PMID:41685554""]",1.0,Author
Elena Tsoy,AUTHOR_ELENA_TSOY,"[""PMID:41685554""]",1.0,Author
Gonzalo Sánchez-Benavides,AUTHOR_GONZALO_SÁNCHEZ-BENAVIDES,"[""PMID:41685554""]",1.0,Author
Marta Milà-Alomà,AUTHOR_MARTA_MILÀ-ALOMÀ,"[""PMID:41685554""]",1.0,Author
Leslie S Gaynor,AUTHOR_LESLIE_S_GAYNOR,"[""PMID:41685554""]",1.0,Author
Oriol Grau-Rivera,AUTHOR_ORIOL_GRAU-RIVERA,"[""PMID:41685554""]",1.0,Author
Juan Domingo Gispert,AUTHOR_JUAN_DOMINGO_GISPERT,"[""PMID:41685554""]",1.0,Author
Joel H Kramer,AUTHOR_JOEL_H_KRAMER,"[""PMID:41685554""]",1.0,Author
Katherine L Possin,AUTHOR_KATHERINE_L_POSSIN,"[""PMID:41685554""]",1.0,Author
